# headword	say	status
# Traditional anglicized house pronunciations. Review on the pinned model
# before full production; only entries present in a chunk are sent to TTS.
Achaeans	uh-KEE-unz	reviewed
Achilles	uh-KILL-eez	reviewed
Agamemnon	ag-uh-MEM-non	reviewed
Aegaeon	ee-JEE-un	review
Apollo	uh-POL-oh	reviewed
Athena	uh-THEE-nuh	reviewed
Briareus	bry-AIR-ee-us	review
Briseis	bry-SEE-iss	reviewed
Chryse	KRY-see	review
Chryseis	kry-SEE-iss	reviewed
Chryses	KRY-seez	reviewed
Hephaestus	heh-FESS-tus	reviewed
Hera	HEER-uh	reviewed
Peleus	PEE-lee-us	reviewed
Tenedos	TEN-uh-doss	review
Thetis	THEE-tiss	reviewed
Zeus	ZOOS	reviewed
