# Iliad index — anglicized pronunciations. Format: headword <TAB> say <TAB> variant(optional)
# House style: see index/pron-key.md. CAPS = primary stress; uh = schwa.
# Lines starting with # are ignored. Transparent English names are intentionally absent.
# Rows marked (od) were inherited from ../odyssey by tools/seed_pronunciations.py.
Achaea	uh-KEE-uh
Achaeans	uh-KEE-unz
Achilles	uh-KIL-eez
Aegae	EE-jee
Aeolus	EE-oh-lus
Aethon	EE-thon
Aetolians	ee-TOH-lee-unz
Agamemnon	ag-uh-MEM-non
Agelaus	aj-uh-LAY-us
Ajax	AY-jaks
Alcimus	AL-sih-mus
Alcmene	alk-MEE-nee
Aloeus	uh-LEE-us	al-OH-yoos
Amphion	am-FY-on
Amphitryon	am-FIT-ree-on
Andraemon	an-DREE-mon
Antilochus	an-TIL-oh-kus
Antiphates	an-TIF-uh-teez
Antiphus	AN-tih-fus
Aphrodite	af-roh-DY-tee
Apollo	uh-POL-oh
Ares	AIR-eez
Aretus	uh-REE-tus
Argives	AR-jyvz	AR-gyvz
Argos	AR-gos
Argus	AR-gus
Ariadne	a-ree-AD-nee
Artemis	AR-tuh-mis
Asopus	uh-SOH-pus
Athena	uh-THEE-nuh
Atreus	AY-tree-us	AY-troos
Autolycus	aw-TOL-ih-kus
Cadmus	KAD-mus
Cassandra	kuh-SAN-druh
Castor	KAS-tor
Centaurs	SEN-tawrz
Cephallenians	sef-uh-LEE-nee-unz
Chalcis	KAL-sis
Chromius	KROH-mee-us
Cicones	sih-KOH-neez
Cleitus	KLY-tus
Clymene	KLIM-uh-nee	kly-MEE-nee
Clytemnestra	kly-tem-NES-truh
Clytius	KLIT-ee-us
Creon	KREE-on
Cronos	KROH-nos
Cyllene	sih-LEE-nee
Cythera	sih-THEER-uh
Damastor	duh-MAS-tor
Danaans	DAN-ay-unz	DAN-uh-unz
Deiphobus	dee-IF-oh-bus
Demeter	dih-MEE-tur
Deucalion	dyoo-KAY-lee-on
Diocles	DY-oh-kleez
Diomedes	dy-oh-MEE-deez
Dionysus	dy-oh-NY-sus
Dodona	doh-DOH-nuh
Dulichium	dyoo-LIK-ee-um
Dymas	DY-mus
Eileithyia	eye-lih-THY-uh	eye-LEE-thee-uh
Elatus	EL-uh-tus
Elis	EE-lis
Epeians	eh-PEE-unz
Epeius	eh-PEE-us
Ephialtes	ef-ee-AL-teez
Ephyra	EF-ih-ruh
Erebus	ER-uh-bus
Erechtheus	eh-REK-thee-us
Ethiopians	ee-thee-OH-pee-unz
Euboea	yoo-BEE-uh
Eumelus	yoo-MEE-lus
Euryalus	yoo-RY-uh-lus
Eurybates	yoo-RIB-uh-teez
Eurydamas	yoo-RID-uh-mus
Eurymedon	yoo-RIM-uh-don
Eurynome	yoo-RIN-oh-mee
Eurypylus	yoo-RIP-ih-lus
Eurytus	YOO-rih-tus
Gorgon	GOR-gon
Gortyn	GOR-tin
Hades	HAY-deez
Halius	HAL-ee-us
Hebe	HEE-bee
Helen	HEL-un
Helios	HEE-lee-os
Hellas	HEL-us
Hellespont	HEL-uh-spont
Hephaestus	hih-FES-tus	hih-FEE-stus
Hera	HEER-uh	HAIR-uh
Heracles	HER-uh-kleez
Hermes	HUR-meez
Hermione	hur-MY-oh-nee
Hypereia	hy-puh-RY-uh
Hyperesia	hy-puh-REE-see-uh
Iardanus	ee-AR-duh-nus
Iasus	EYE-uh-sus
Idomeneus	eye-DOM-uh-nyoos	eye-DOM-ih-nee-us
Ilus	EYE-lus
Iolcus	eye-OL-kus
Iphitus	IF-ih-tus
Ithaca	ITH-uh-kuh
Jason	JAY-sun
Lacedaemon	las-uh-DEE-mun
Laerces	lay-UR-seez
Laertes	lay-UR-teez
Lampus	LAM-pus
Laodamas	lay-OD-uh-mus
Lapiths	LAP-iths
Lemnos	LEM-nos
Lesbos	LEZ-bos
Leto	LEE-toh
Maera	MEE-ruh
Mastor	MAS-tor
Medon	MEE-don
Melanthius	muh-LAN-thee-us
Menelaus	men-uh-LAY-us
Menoetius	muh-NEE-tee-us
Mentes	MEN-teez
Mentor	MEN-tor
Mermerus	MUR-muh-rus
Minos	MY-nos
Mycenae	my-SEE-nee
Myrmidons	MUR-mih-donz
Neleus	NEE-lee-us
Neoptolemus	nee-op-TOL-uh-mus
Neriton	NER-ih-ton
Nestor	NES-tor
Odysseus	oh-DIS-ee-us	oh-DISS-yoos
Oechalia	ee-KAY-lee-uh
Oedipus	EE-dih-pus	ED-ih-pus
Oenops	EE-nops
Olympus	oh-LIM-pus
Onetor	oh-NEE-tor
Orchomenus	or-KOM-uh-nus
Orestes	oh-RES-teez
Orion	oh-RY-un
Ormenus	OR-muh-nus
Orsilochus	or-SIL-oh-kus
Ortilochus	or-TIL-oh-kus
Otus	OH-tus
Panopeus	puh-NOP-ee-us
Patroclus	puh-TROH-klus
Peirithous	py-RITH-oh-us
Peisander	py-SAN-der
Peisenor	py-SEE-nor
Pelasgians	puh-LAZ-jee-unz
Peleus	PEE-lee-us
Pelias	PEE-lee-us	PEL-ee-us
Pelion	PEE-lee-on
Periboea	per-ih-BEE-uh
Perimedes	per-ih-MEE-deez
Persephone	pur-SEF-oh-nee
Perseus	PUR-see-us
Phaestus	FEE-stus	FES-tus
Pherae	FEE-ree
Pheres	FEE-reez
Philoctetes	fil-ok-TEE-teez
Phorcys	FOR-sis
Phrontis	FRON-tis
Phthia	FTHY-uh	THY-uh
Phylace	fih-LAY-see
Phylacus	FIL-uh-kus
Pieria	py-EER-ee-uh
Polites	poh-LY-teez
Polybus	POL-ih-bus
Polyctor	poh-LIK-tor
Polydeuces	pol-ih-DYOO-seez
Polyphemus	pol-ih-FEE-mus
Poseidon	poh-SY-dun
Priam	PRY-am
Pylians	PY-lee-unz
Pylos	PY-los
Pytho	PY-thoh
Scyros	SKY-ros
Sidon	SY-don
Sisyphus	SIS-ih-fus
Solymi	SOL-ih-my
Styx	STIKS
Telamon	TEL-uh-mon
Telemachus	tuh-LEM-uh-kus
Tenedos	TEN-uh-dos
Themis	THEM-is
Theseus	THEE-see-us
Thetis	THEE-tis	THET-is
Thoas	THOH-as
Thrasymedes	thras-ih-MEE-deez
Thyestes	thy-ES-teez
Tithonus	tih-THOH-nus
Tydeus	TY-dee-us
Zacynthus	zuh-SIN-thus
Zeus	ZOOS
# --- Iliad-specific rows (hand-written; house style in pron-key.md) ---
Abantes	uh-BAN-teez
Abydos	uh-BY-dos
Acamas	AK-uh-mas
Achaean	uh-KEE-un
Adamas	AD-uh-mas
Admetus	ad-MEE-tus
Adrastus	uh-DRAS-tus
Adrestus	uh-DRES-tus
Aeacus	EE-uh-kus
Aeneas	ee-NEE-us	uh-NEE-us
Aesepus	ee-SEE-pus
Aethe	EE-thee
Aetolian	ee-TOH-lee-un
Agenor	uh-JEE-nor
Alcathous	al-KATH-oh-us
Alcimedon	al-SIM-uh-don
Alexandros	al-eg-ZAN-dros
Alpheius	al-FEE-us
Altes	AL-teez
Amarynceus	am-uh-RIN-syoos
Amphidamas	am-FID-uh-mas
Amphimachus	am-FIM-uh-kus
Anchises	an-KY-seez
Andromache	an-DROM-uh-kee
Antenor	an-TEE-nor
Antimachus	an-TIM-uh-kus
Apisaon	ap-ih-SAY-on
Aphareus	AF-uh-ryoos
Archelochus	ar-KEL-oh-kus
Areithous	uh-REE-thoh-us
Argive	AR-gyve
Arisbe	uh-RIZ-bee
Ascalaphus	as-KAL-uh-fus
Asclepius	as-KLEE-pee-us
Asius	AY-see-us
Asteropaeus	as-ter-oh-PEE-us
Astyanax	as-TY-uh-naks
Augeias	aw-JEE-us
Automedon	aw-TOM-uh-don
Axius	AK-see-us
Bellerophon	buh-LAIR-uh-fon
Bias	BY-us
Boeotians	bee-OH-shunz
Boreas	BOR-ee-us
Briseis	bry-SEE-is
Briseus	BRY-syoos
Cadmeans	kad-MEE-unz
Calchas	KAL-kus
Calydon	KAL-ih-don
Capaneus	KAP-uh-nyoos
Cebriones	seb-RY-oh-neez
Chiron	KY-ron
Chryse	KRY-see
Chryseis	kry-SEE-is
Chryses	KRY-seez
Cleopatra	klee-oh-PAT-ruh
Coeranus	SEER-uh-nus
Coon	KOH-on
Cos	kos
Cretans	KREE-tunz
Curetes	kyoo-REE-teez
Cypris	SIP-ris
Danaan	DAN-ay-un
Dardania	dar-DAY-nee-uh
Dardanian	dar-DAY-nee-un
Dardanians	dar-DAY-nee-unz
Dardanus	DAR-duh-nus
Deïpyrus	dee-IP-ih-rus
Diores	dy-OR-eez
Dione	dy-OH-nee
Dolon	DOH-lon
Dolops	DOH-lops
Echius	EK-ee-us
Eëtion	ay-EE-tee-on
Ennomus	EN-oh-mus
Enops	EE-nops
Enyalius	en-ee-AY-lee-us
Epistrophus	ee-PIS-troh-fus
Ereuthalion	er-yoo-THAY-lee-on
Erinyes	ee-RIN-ee-eez
Euaemon	yoo-EE-mon
Euphorbus	yoo-FOR-bus
Eurystheus	yoo-RIS-thyoos
Gargaron	GAR-guh-ron
Gerenian	juh-REE-nee-un
Glaucus	GLAW-kus
Haemon	HEE-mon
Hecuba	HEK-yoo-buh
Helenus	HEL-uh-nus
Hicetaon	hy-suh-TAY-on
Hippasus	HIP-uh-sus
Hippolochus	hip-OL-oh-kus
Hippothous	hip-OTH-oh-us
Hyle	HY-lee
Hyrtacus	HUR-tuh-kus
Ida	EYE-duh
Idaeus	eye-DEE-us
Ilion	IL-ee-on
Ilioneus	il-ee-OH-nyoos
Imbros	IM-bros
Iphidamas	if-ID-uh-mas
Iris	EYE-ris
Laodice	lay-OD-ih-see
Laomedon	lay-OM-uh-don
Leïtus	LEE-ih-tus
Leonteus	lee-ON-tyoos
Locrians	LOK-ree-unz
Lycaon	ly-KAY-on
Lycia	LISH-uh	LIS-ee-uh
Lycian	LISH-un
Lycians	LISH-unz
Lycomedes	ly-koh-MEE-deez
Lycurgus	ly-KUR-gus
Lyrnessus	lur-NES-us
Machaon	muh-KAY-on
Maeonia	mee-OH-nee-uh
Maeonians	mee-OH-nee-unz
Mecisteus	muh-SIS-tyoos
Meges	MEE-jeez
Melanippus	mel-uh-NIP-us
Meleager	mel-ee-AY-jur
Menestheus	muh-NES-thyoos
Meriones	muh-RY-oh-neez
Molus	MOH-lus
Mulius	MYOO-lee-us
Mysians	MIZH-unz
Nastes	NAS-teez
Nereids	NEER-ee-idz
Nireus	NY-ryoos
Odius	OH-dee-us
Oeneus	EE-nyoos
Oenomaus	ee-noh-MAY-us
Oileus	oh-EYE-lyoos
Oïleus	oh-EYE-lyoos
Opoeis	oh-POH-is
Othryoneus	oth-ry-OH-nyoos
Otrynteus	oh-TRIN-tyoos
Paeonians	pee-OH-nee-unz
Paiëon	pay-EE-on
Panthous	PAN-thoh-us
Paphlagonians	paf-luh-GOH-nee-unz
Pedasus	PED-uh-sus
Peiroos	PY-roh-os
Pelasgian	puh-LAZ-jee-un
Pelegon	PEL-uh-gon
Pelian	PEE-lee-un
Peneios	puh-NEE-os
Peneleos	puh-NEL-ee-os
Percote	pur-KOH-tee
Pergamos	PUR-guh-mos
Periphas	PER-ih-fas
Peteos	PEE-tee-os
Phaenops	FEE-nops
Phocians	FOH-shunz
Phoebus	FEE-bus
Phrygia	FRIJ-ee-uh
Phthians	FTHY-unz	THY-unz
Phyleus	FY-lyoos
Placus	PLAY-kus
Pleuron	PLOOR-on
Polydamas	pol-ih-DAY-mas	puh-LID-uh-mas
Polydorus	pol-ih-DOR-us
Polyidus	pol-ih-EYE-dus
Polypoetes	pol-ih-PEE-teez
Proetus	PREE-tus
Promachus	PROM-uh-kus
Protesilaus	proh-tes-ih-LAY-us
Prothoenor	proh-thoh-EE-nor
Pylaemenes	py-LEM-uh-neez
Rhesus	REE-sus
Sarpedon	sar-PEE-don
Satnioeis	sat-nee-OH-is
Scaean	SEE-un
Scamander	skuh-MAN-dur
Schedius	SKEE-dee-us
Selleïs	sel-EE-is
Simoeisios	sim-oh-EE-see-os
Simois	SIM-oh-is
Socus	SOH-kus
Spercheius	spur-KY-us
Sthenelus	STHEN-uh-lus
Stichius	STIK-ee-us
Talthybius	tal-THIB-ee-us
Tartarus	TAR-tuh-rus
Teucer	TYOO-sur
Telamonian	tel-uh-MOH-nee-un
Theano	thee-AN-oh
Thebe	THEE-bee
Thersites	thur-SY-teez
Thestor	THES-tor
Thoon	THOH-on
Thracian	THRAY-shun
Thracians	THRAY-shunz
Tlepolemus	tluh-POL-uh-mus	tuh-LEP-oh-lee-mus
Tritogeneia	try-toh-juh-NY-uh
Tros	tros
Xanthus	ZAN-thus
Zeleia	zuh-LY-uh
Zephyrus	ZEF-ih-rus
Alastor	uh-LAS-tor
Athenians	uh-THEE-nee-unz
Eumedes	yoo-MEE-deez
Iphiclus	IF-ih-klus
Niobe	NY-oh-bee
Oceanus	oh-SEE-uh-nus
Olympian	oh-LIM-pee-un
Pandarus	PAN-duh-rus
Peneius	puh-NEE-us
Phoenix	FEE-niks
Samos	SAY-mos
Thebes	theebz
Thrace	thrayss
Actor	AK-tor
Ajaxes	AY-jak-seez
Amazons	AM-uh-zonz
Arion	uh-RY-on
Hellenes	HEL-eenz
Laothoe	lay-OTH-oh-ee
Podargus	poh-DAR-gus
Tethys	TEE-this
Xanthus_horse	ZAN-thus
